date,symbol,weight,expected_holdings,holdings_date,actual_weight,actual_lag,has_actual
2025-12-01,TAO,0.02412387473923588,2025-12-03,2025-12-03,0.02774480402458314,2.0,True
2025-12-01,TIA,-0.0556605674962492,2025-12-03,,0.0,,False
2025-12-01,TNSR,-0.06650591378623134,2025-12-03,2025-12-03,-0.09314409328934987,2.0,True
2025-12-01,TRX,0.04030576621377142,2025-12-03,2025-12-03,0.031198030820933424,2.0,True
2025-12-01,TURBO,0.005443617982367671,2025-12-03,,0.0,,False
2025-12-01,UNI,-0.012564709797158676,2025-12-03,2025-12-03,-0.013211875227320166,2.0,True
2025-12-01,VIRTUAL,-0.03389849305107542,2025-12-03,2025-12-03,-0.0,2.0,True
2025-12-01,WIF,0.0382651843131521,2025-12-03,2025-12-03,0.0,2.0,True
2025-12-01,WLD,-0.015747401541130072,2025-12-03,2025-12-03,-0.0,2.0,True
2025-12-01,WLFI,-0.033969874916284934,2025-12-03,2025-12-03,-0.03200681645152546,2.0,True
2025-12-01,XPL,-0.04123373046149497,2025-12-03,2025-12-03,-0.0604183907802893,2.0,True
2025-12-01,XRP,0.007014019016976777,2025-12-03,,0.0,,False
2025-12-01,ZEN,-0.0384793299087806,2025-12-03,2025-12-03,0.019325670293414757,2.0,True
2025-12-02,AAVE,0.06446533188561204,2025-12-04,2025-12-04,0.05600295660066895,2.0,True
2025-12-02,ADA,-0.00010707279781424928,2025-12-04,2025-12-04,0.0,2.0,True
2025-12-02,APT,0.003902709138214883,2025-12-04,2025-12-04,-0.014119023269448494,2.0,True
2025-12-02,ASTER,-0.021298092321311992,2025-12-04,2025-12-04,-0.015080712283027101,2.0,True
2025-12-02,AVAX,0.030031474845465332,2025-12-04,2025-12-04,0.03846209776200802,2.0,True
2025-12-02,BCH,0.004830673385938445,2025-12-04,2025-12-04,-0.012829515842490794,2.0,True
2025-12-02,BNB,0.022011910973407055,2025-12-04,2025-12-04,0.01814370781576986,2.0,True
2025-12-02,BTC,0.02179776537777854,2025-12-04,2025-12-04,0.03679747060438053,2.0,True
2025-12-02,DOGE,-0.021512237916940506,2025-12-04,2025-12-04,0.041852690872296705,2.0,True
2025-12-02,ENA,-0.01166623773989144,2025-12-04,2025-12-04,-0.008571838879930679,2.0,True
2025-12-02,ETH,0.02194052910819755,2025-12-04,2025-12-04,0.028666173944358882,2.0,True
2025-12-02,FET,-0.03432678424233246,2025-12-04,2025-12-04,-0.024815752116282928,2.0,True
2025-12-02,FIL,-0.0240030055520912,2025-12-04,,0.0,,False
2025-12-02,HBAR,-0.006300200364881711,2025-12-04,2025-12-04,0.0184760505843305,2.0,True
2025-12-02,LINK,0.025522019852969653,2025-12-04,,0.0,,False
2025-12-02,LTC,0.003075618946157148,2025-12-04,2025-12-04,-0.0,2.0,True
2025-12-02,NEAR,-0.025807547313807654,2025-12-04,2025-12-04,-0.01519955683008635,2.0,True
2025-12-02,PAXG,0.04961020365960077,2025-12-04,2025-12-04,0.06387209030066765,2.0,True
2025-12-02,PENGU,0.03375572932065643,2025-12-04,2025-12-04,0.027724387949748824,2.0,True
2025-12-02,PUMP,0.06876064128247919,2025-12-04,2025-12-04,0.05628576947980099,2.0,True
2025-12-02,SOL,0.025878929179017185,2025-12-04,2025-12-04,0.03729939962711308,2.0,True
2025-12-02,STRK,-0.05172216742542958,2025-12-04,2025-12-04,-0.05539863909053671,2.0,True
2025-12-02,SUI,0.03404125678149446,2025-12-04,,0.0,,False
2025-12-02,TAO,0.02186914724298805,2025-12-04,2025-12-04,0.029531719020630332,2.0,True
2025-12-02,TIA,-0.05129387623417255,2025-12-04,2025-12-04,-0.06042687847522958,2.0,True
2025-12-02,TNSR,-0.070872605048308,2025-12-04,2025-12-04,-0.07064084503040774,2.0,True
2025-12-02,TRX,-0.012350564201530162,2025-12-04,2025-12-04,-0.024090081525737127,2.0,True
2025-12-02,TURBO,-0.0008208914499093049,2025-12-04,2025-12-04,0.005479674824784353,2.0,True
2025-12-02,UNI,-0.016503109867978302,2025-12-04,2025-12-04,-0.013579473321233335,2.0,True
2025-12-02,VIRTUAL,-0.026469551439814585,2025-12-04,,0.0,,False
2025-12-02,WIF,-0.0009636551803283121,2025-12-04,,0.0,,False
2025-12-02,WLD,-0.0023618002940620844,2025-12-04,,0.0,,False
2025-12-02,WLFI,-0.051579403695010566,2025-12-04,2025-12-04,-0.0581960307680894,2.0,True
2025-12-02,XPL,-0.01130932841384391,2025-12-04,2025-12-04,-0.036278122334121116,2.0,True
2025-12-02,XRP,0.010666891626958386,2025-12-04,2025-12-04,-0.0,2.0,True
2025-12-02,ZEN,-0.051365258099382055,2025-12-04,2025-12-04,-0.017226069234093484,2.0,True
2025-12-03,AAVE,0.0223454541367422,2025-12-05,2025-12-05,0.03270959183182294,2.0,True
2025-12-03,ADA,0.0034499352427604206,2025-12-05,,0.0,,False
