holdings_date,daily_te_correct,n_matched_correct,n_sign_correct_correct,daily_te_wrong,n_matched_wrong,n_sign_correct_wrong,te_diff
2024-12-03,1.0632549446609814,0,0,1.0269232459203388,0,0,-0.03633169874064257
2024-12-04,1.0269232459203388,0,0,1.1024621954764309,0,0,0.07553894955609208
2024-12-05,1.1024621954764309,0,0,1.05007365827939,0,0,-0.05238853719704095
2024-12-06,1.05007365827939,0,0,1.007403476677088,0,0,-0.04267018160230185
2024-12-07,1.007403476677088,0,0,1.103671941840213,0,0,0.09626846516312493
2024-12-08,1.103671941840213,0,0,0.8054230530114898,0,0,-0.29824888882872325
2024-12-09,0.8054230530114898,0,0,0.8869645711359245,0,0,0.08154151812443478
2024-12-10,0.8869645711359245,0,0,0.7178303055581986,0,0,-0.16913426557772593
2024-12-11,0.7178303055581986,0,0,0.9589546141869089,0,0,0.24112430862871026
2024-12-12,0.9589546141869089,0,0,1.0006606333427501,0,0,0.04170601915584127
2024-12-13,1.0006606333427501,0,0,0.8447498929658899,0,0,-0.15591074037686026
2024-12-14,0.8447498929658899,0,0,0.9041228433309608,0,0,0.05937295036507095
2024-12-15,0.9041228433309608,0,0,0.9480053083210335,0,0,0.043882464990072645
2024-12-16,0.9480053083210335,0,0,0.9344641013813004,0,0,-0.013541206939733041
2024-12-17,0.9344641013813004,0,0,1.0053937496898286,0,0,0.07092964830852821
2024-12-18,1.0053937496898286,0,0,1.0167624378646567,0,0,0.011368688174828057
2024-12-19,1.0167624378646567,0,0,0.9288015400897066,0,0,-0.08796089777495009
2024-12-20,0.9288015400897066,0,0,0.893088911973237,0,0,-0.03571262811646958
2024-12-21,0.893088911973237,0,0,0.9493511266045943,0,0,0.05626221463135728
2024-12-22,0.9493511266045943,0,0,1.1029992975383136,0,0,0.1536481709337193
2024-12-23,1.1029992975383136,0,0,1.1042617350812816,0,0,0.0012624375429679535
2024-12-24,1.1042617350812816,0,0,1.062546266445423,0,0,-0.04171546863585851
2024-12-25,1.062546266445423,0,0,1.0406875678379472,0,0,-0.0218586986074758
2024-12-26,1.0406875678379472,0,0,1.1066246820863637,0,0,0.06593711424841642
2024-12-27,1.1066246820863637,0,0,0.9614382007185732,0,0,-0.14518648136779044
2024-12-28,0.9614382007185732,0,0,0.9589961053447271,0,0,-0.002442095373846098
2024-12-29,0.9589961053447271,0,0,1.014217909231031,0,0,0.05522180388630393
2024-12-30,1.014217909231031,0,0,0.909807994134235,0,0,-0.10440991509679609
2024-12-31,0.909807994134235,0,0,1.0768971448008684,0,0,0.16708915066663343
2025-01-01,1.0768971448008684,0,0,1.0231937552358035,0,0,-0.05370338956506493
2025-01-02,1.0231937552358035,0,0,0.9788164246848183,0,0,-0.04437733055098514
2025-01-03,0.9788164246848183,0,0,1.0632206905540924,0,0,0.08440426586927408
2025-01-04,1.0632206905540924,0,0,1.0102040064273015,0,0,-0.05301668412679095
2025-01-05,1.0102040064273015,0,0,1.0025117068819949,0,0,-0.007692299545306591
2025-01-06,1.0025117068819949,0,0,0.9806619836728366,0,0,-0.021849723209158234
2025-01-07,0.9806619836728366,0,0,0.7971882744935331,0,0,-0.1834737091793035
2025-01-08,0.7971882744935331,0,0,1.039558406895523,0,0,0.2423701324019899
2025-01-09,1.039558406895523,0,0,0.973473262323688,0,0,-0.06608514457183501
2025-01-10,0.973473262323688,0,0,0.8902926343536639,0,0,-0.08318062797002412
2025-01-11,0.8902926343536639,0,0,1.0403611226073024,0,0,0.1500684882536385
2025-01-12,1.0403611226073024,0,0,0.8150118569517647,0,0,-0.2253492656555377
2025-01-13,0.8150118569517647,0,0,0.8774482796850495,0,0,0.06243642273328476
2025-01-14,0.8774482796850495,0,0,0.9226138901744789,0,0,0.045165610489429464
2025-01-15,0.9226138901744789,0,0,0.9889945199204808,0,0,0.0663806297460019
2025-01-16,0.9889945199204808,0,0,0.8784988518017134,0,0,-0.11049566811876743
2025-01-17,0.8784988518017134,0,0,1.053477111084631,0,0,0.17497825928291766
2025-01-18,1.053477111084631,0,0,1.2083517306650824,0,0,0.15487461958045134
2025-01-19,1.2083517306650824,0,0,1.052472452946718,0,0,-0.1558792777183644
2025-01-20,1.052472452946718,0,0,0.9833187519532678,0,0,-0.0691537009934502
2025-01-21,0.9833187519532678,0,0,0.8468104517577415,0,0,-0.1365083001955263
2025-01-22,0.8468104517577415,0,0,0.9189152027065215,0,0,0.07210475094878
2025-01-23,0.9189152027065215,0,0,0.9022278171329491,0,0,-0.01668738557357241
2025-01-24,0.9022278171329491,0,0,0.8154689494488415,0,0,-0.08675886768410757
2025-01-25,0.8154689494488415,0,0,0.8788365280925147,0,0,0.06336757864367315
2025-01-26,0.8788365280925147,0,0,0.9155462437569838,0,0,0.03670971566446912
2025-01-27,0.9155462437569838,0,0,0.8704093041033375,0,0,-0.04513693965364629
2025-01-28,0.8704093041033375,0,0,1.018833701211622,0,0,0.14842439710828448
2025-01-29,1.018833701211622,0,0,1.0778636801043975,0,0,0.0590299788927755
2025-01-30,1.0778636801043975,0,0,0.8467594035888019,0,0,-0.23110427651559562
2025-01-31,0.8467594035888019,0,0,0.9305707224664755,0,0,0.08381131887767368
2025-02-01,0.9305707224664755,0,0,1.0182943715633723,0,0,0.08772364909689678
2025-02-02,1.0182943715633723,0,0,0.9280683939034955,0,0,-0.09022597765987683
2025-02-03,0.9280683939034955,0,0,1.1189335106788947,0,0,0.1908651167753992
2025-02-04,1.1189335106788947,0,0,1.0988827999116455,0,0,-0.02005071076724918
